algorithm,k,silhouette,davies_bouldin,calinski_harabasz,num_clusters
Hierarchical,5.0,0.07648314535617828,1.6444790949719845,1.8941943271078272,5
KMeans,2.0,0.04484103247523308,6.3926651859123265,270.98610758327055,2
KMeans,9.0,0.03830371052026749,5.559602774007044,143.360289119426,9
KMeans,8.0,0.03529606759548187,5.636880873279612,152.86729628269865,8
KMeans,5.0,0.034953393042087555,5.879258674042173,196.91318763843088,5
KMeans,3.0,0.033655960112810135,6.934520466402543,229.22853133717217,3
KMeans,10.0,0.032622095197439194,5.245128094500573,137.6876995936792,10
KMeans,6.0,0.032189637422561646,5.72708731888897,179.4823411237989,6
KMeans,4.0,0.03188593313097954,6.455122017823092,201.44113183781366,4
KMeans,7.0,0.026677682995796204,5.218996468577237,164.7940088906268,7
DBSCAN,,-0.02539106272161007,2.0979395599480064,2.546250242520766,3
