cluster,sample_id,distance_to_centroid
0,2577,0.3658934235572815
0,13420,0.3661459684371948
0,6043,0.3664032220840454
0,7156,0.36659854650497437
0,5624,0.3679717779159546
1,14488,0.24720484018325806
1,14487,0.24720484018325806
1,14759,0.3198448419570923
1,5920,0.3471665382385254
1,2287,0.5574690103530884
2,1747,0.17140734195709229
2,1715,0.20462214946746826
2,6909,0.27181828022003174
2,1745,0.2969108819961548
2,1713,0.3200925588607788
3,56,0.0
4,6891,0.03789633512496948
4,6892,0.03789651393890381
