model,accuracy,f1_macro,f1_weighted
Random Forest,0.7277468706536857,0.3315138318600828,0.7007762162254969
Linear SVM,0.7141863699582753,0.3174471141388892,0.68785000067506
Logistic Regression,0.7340055632823366,0.27448885303292914,0.6740342508509966
